Tracking No.,Date,Site,Rep,Unfiltered_TN_ugL,Filtered_NOx_ugL,Filtered_NHx_ugL,Unfiltered_TP_ ugL,Filtered_OP_ugL,TSS_mgL,fecal_coliform_colonies_per100mL
DF20140728SW,7/28/14,P3D,3,1758,NA,NA,75,76,NA,NA
DF20140728SW,7/28/14,P3U,1,2802,NA,NA,84,60,NA,1000
DF20140728SW,7/28/14,P3U,2,2833,NA,NA,90,79,NA,NA
DF20140728SW,7/28/14,P3U,3,2817,NA,NA,94,81,NA,NA
DF20140728SW,7/28/14,P51,1,365,NA,NA,205,51,NA,1000
DF20140728SW,7/28/14,P51,2,389,NA,NA,93,72,NA,NA
DF20140728SW,7/28/14,P51,3,412,NA,NA,99,60,NA,NA
DF20140728SW,7/28/14,P53,1,NA,NA,NA,NA,NA,NA,NA
DF20140728SW,7/28/14,P53,2,NA,NA,NA,NA,NA,NA,NA
DF20140728SW,7/28/14,P53,3,NA,NA,NA,NA,NA,NA,NA
DF20140728SW,7/28/14,SC2,1,872,NA,NA,113,6,NA,200
DF20140728SW,7/28/14,SC2,2,837,NA,NA,122,7,NA,NA
DF20140728SW,7/28/14,SC2,3,886,NA,NA,105,5,NA,NA
DF20140728SW,7/28/14,WT1,1,654,NA,NA,103,37,NA,105
DF20140728SW,7/28/14,WT1,2,647,NA,NA,60,50,NA,NA
DF20140728SW,7/28/14,WT1,3,663,NA,NA,78,53,NA,NA
DF20140728SW,7/28/14,WT3,1,764,NA,NA,106,35,NA,105
DF20140728SW,7/28/14,WT3,2,757,NA,NA,77,49,NA,NA
DF20140728SW,7/28/14,WT3,3,762,NA,NA,57,51,NA,NA
DF20140728SW,7/28/14,WT4,1,1141,NA,NA,122,40,NA,660
DF20140728SW,7/28/14,WT4,2,1144,NA,NA,60,55,NA,NA
DF20140728SW,7/28/14,WT4,3,1149,NA,NA,99,54,NA,NA
DF20140728SW,7/28/14,WT5,1,1007,NA,NA,162,44,NA,225
DF20140728SW,7/28/14,WT5,2,1067,NA,NA,87,48,NA,NA
DF20140728SW,7/28/14,WT5,3,1026,NA,NA,104,49,NA,NA
DF20140813SW,8/13/14,AN0,1,1373,NA,NA,134,52,6,NA
DF20140813SW,8/13/14,AN0,2,NA,NA,NA,NA,53,NA,NA
DF20140813SW,8/13/14,AN0,3,NA,NA,NA,NA,53,NA,NA
DF20140813SW,8/13/14,AN1,1,1043,NA,NA,120,38,21,NA
DF20140813SW,8/13/14,AN1,2,NA,NA,NA,NA,38,NA,NA
DF20140813SW,8/13/14,AN1,3,NA,NA,NA,NA,39,NA,NA
DF20140813SW,8/13/14,AN2,1,1089,NA,NA,118,40,27,NA
DF20140813SW,8/13/14,AN2,2,NA,NA,NA,NA,40,NA,NA
DF20140813SW,8/13/14,AN2,3,NA,NA,NA,NA,41,NA,NA
DF20140813SW,8/13/14,AN3,1,851,NA,NA,190,39,54,NA
DF20140813SW,8/13/14,AN3,2,NA,NA,NA,NA,38,NA,NA
DF20140813SW,8/13/14,AN3,3,NA,NA,NA,NA,39,NA,NA
DF20140813SW,8/13/14,AN4,1,1069,NA,NA,116,38,21,NA
DF20140813SW,8/13/14,AN4,2,NA,NA,NA,NA,38,NA,NA
DF20140813SW,8/13/14,AN4,3,NA,NA,NA,NA,39,NA,NA
DF20140813SW,8/13/14,AN5,1,608,NA,NA,100,26,20,NA
DF20140813SW,8/13/14,AN5,2,NA,NA,NA,NA,27,NA,NA
DF20140813SW,8/13/14,AN5,3,NA,NA,NA,NA,27,NA,NA
DF20140813SW,8/13/14,P3D,1,2607,NA,NA,139,98,7,NA
DF20140813SW,8/13/14,P3D,2,NA,NA,NA,NA,98,NA,NA
DF20140813SW,8/13/14,P3D,3,NA,NA,NA,NA,99,NA,NA
DF20140813SW,8/13/14,P3U,1,3342,NA,NA,157,140,3,NA
DF20140813SW,8/13/14,P3U,2,NA,NA,NA,NA,142,NA,NA
DF20140813SW,8/13/14,P3U,3,NA,NA,NA,NA,143,NA,NA
DF20140813SW,8/13/14,P51,1,546,NA,NA,124,36,22,NA
DF20140813SW,8/13/14,P51,2,NA,NA,NA,NA,38,NA,NA
DF20140813SW,8/13/14,P51,3,NA,NA,NA,NA,37,NA,NA
DF20140813SW,8/13/14,P53,1,223,NA,NA,37,11,3,NA
DF20140813SW,8/13/14,P53,2,NA,NA,NA,NA,11,NA,NA
DF20140813SW,8/13/14,P53,3,NA,NA,NA,NA,11,NA,NA
DF20140813SW,8/13/14,SC2,1,850,NA,NA,242,61,188,NA
DF20140813SW,8/13/14,SC2,2,NA,NA,NA,NA,62,NA,NA
DF20140813SW,8/13/14,SC2,3,NA,NA,NA,NA,63,NA,NA
DF20140813SW,8/13/14,WT1,1,996,NA,NA,187,44,57,NA
DF20140813SW,8/13/14,WT1,2,NA,NA,NA,NA,44,NA,NA
DF20140813SW,8/13/14,WT1,3,NA,NA,NA,NA,44,NA,NA
DF20140813SW,8/13/14,WT3,1,1078,NA,NA,112,44,10,NA
DF20140813SW,8/13/14,WT3,2,NA,NA,NA,NA,46,NA,NA
DF20140813SW,8/13/14,WT3,3,NA,NA,NA,NA,44,NA,NA
DF20140813SW,8/13/14,WT4,1,1051,NA,NA,188,45,59,NA
DF20140813SW,8/13/14,WT4,2,NA,NA,NA,NA,46,NA,NA
DF20140813SW,8/13/14,WT4,3,NA,NA,NA,NA,46,NA,NA
DF20140813SW,8/13/14,WT5,1,1150,NA,NA,202,46,69,NA
DF20140813SW,8/13/14,WT5,2,NA,NA,NA,NA,48,NA,NA
DF20140813SW,8/13/14,WT5,3,NA,NA,NA,NA,46,NA,NA
DF20140930SW,9/30/14,AN0,1,4338,NA,NA,329,100,9,NA
DF20140930SW,9/30/14,AN1,1,520,NA,NA,65,31,6,NA
DF20140930SW,9/30/14,AN2,1,579,NA,NA,76,25,10,NA
DF20140930SW,9/30/14,AN3,1,1858,NA,NA,246,34,66,NA
DF20140930SW,9/30/14,AN4,1,552,NA,NA,79,24,48,NA
DF20140930SW,9/30/14,AN5,1,833,NA,NA,165,28,13,NA
DF20140930SW,9/30/14,P3D,1,1686,NA,NA,63,44,7,NA
DF20140930SW,9/30/14,P3U,1,1521,NA,NA,63,46,5,NA
DF20140930SW,9/30/14,P51,1,900,NA,NA,111,10,5,NA
DF20140930SW,9/30/14,P53,1,477,NA,NA,103,10,4,NA
DF20140930SW,9/30/14,WT0,1,634,NA,NA,116,65,9,NA
DF20140930SW,9/30/14,WT1,1,535,NA,NA,90,36,8,NA
DF20140930SW,9/30/14,WT3,1,704,NA,NA,99,25,26,NA
DF20140930SW,9/30/14,WT4,1,914,NA,NA,112,41,15,NA
DF20140930SW,9/30/14,WT5,1,1010,NA,NA,156,58,21,NA
DF20150401SW,4/1/15,1,NA,281,52,48,34,19,3,NA
DF20150401SW,4/1/15,2,NA,316,48,31,49,28,10,NA
DF20150401SW,4/1/15,3,NA,331,34,28,38,27,2,NA
DF20150401SW,4/1/15,4,NA,366,98,35,25,21,6,NA
DF20150401SW,4/1/15,5,NA,348,47,42,24,20,6,NA
DF20150401SW,4/1/15,AN0,1,360,96,33,34,19,2,NA
DF20150401SW,4/1/15,AN2,1,354,36,45,31,14,1,NA
DF20150401SW,4/1/15,AN3,1,502,32,32,59,31,9,NA
DF20150401SW,4/1/15,AN4,1,313,25,22,18,14,2,NA
DF20150401SW,4/1/15,AN5,1,283,26,28,14,10,7,NA
DF20150401SW,4/1/15,P51,1,376,40,27,25,14,11,NA
DF20150401SW,4/1/15,P53,1,359,35,42,24,12,1,NA
DF20150401SW,4/1/15,WT1,1,361,23,44,25,15,7,NA
DF20150401SW,4/1/15,WT3,1,359,26,31,30,10,5,NA
DF20150401SW,4/1/15,WT4,1,420,81,33,33,16,6,NA
DF20150401SW,4/1/15,WT5,1,354,243,47,37,20,12,NA
DF20150511SW,5/11/15,AN0,1,NA,38,42,63,56,NA,NA
DF20150511SW,5/11/15,AN2,1,NA,72,171,34,18,NA,NA
DF20150511SW,5/11/15,AN3,1,NA,45,80,74,61,NA,NA
DF20150511SW,5/11/15,AN4,1,NA,71,163,36,16,NA,NA
DF20150511SW,5/11/15,AN5,1,NA,114,69,41,29,NA,NA
DF20150511SW,5/11/15,P51,1,NA,48,45,18,9,NA,NA
DF20150511SW,5/11/15,P53,1,NA,41,78,31,24,NA,NA
DF20150511SW,5/11/15,P54,1,NA,145,99,61,48,NA,NA
DF20150511SW,5/11/15,WT1,1,NA,98,94,62,37,NA,NA
DF20150511SW,5/11/15,WT3,1,NA,87,173,23,16,NA,NA
DF20150511SW,5/11/15,WT4,1,NA,189,198,68,67,NA,NA
DF20150511SW,5/11/15,WT5,1,NA,92,56,44,30,NA,NA
DF20150608SW,6/8/15,AN0,1,1193,40,30,187,35,23,NA
DF20150608SW,6/8/15,AN2,1,3091,21,13,146,25,29,NA
DF20150608SW,6/8/15,AN5,1,3338,94,69,209,24,93,NA
DF20150608SW,6/8/15,CP1,1,514,61,31,130,10,4,NA
DF20150608SW,6/8/15,CP2,1,347,45,23,24,13,2,NA
DF20150608SW,6/8/15,CP3,1,682,42,22,28,9,186,NA
DF20150608SW,6/8/15,P51,1,1283,34,31,104,10,17,NA
DF20150608SW,6/8/15,P53,1,829,48,42,55,6,87,NA
DF20150608SW,6/8/15,P54,1,580,23,16,63,35,8,NA
DF20150608SW,6/8/15,WT1,1,553,38,34,48,33,12,NA
DF20150608SW,6/8/15,WT3,1,1885,37,23,157,69,416,NA
DF20150608SW,6/8/15,WT4,1,1760,109,48,61,25,5,NA
DF20150608SW,6/8/15,WT5,1,1857,22,21,94,11,22,NA
DF20150825SW,8/25/15,AN2,1,2190,145,351,132,33,24,NA
DF20150825SW,8/25/15,AN0,1,1426,398,33,88,44,7,NA
DF20150825SW,8/25/15,CP1,1,NA,NA,NA,NA,NA,NA,NA
DF20150825SW,8/25/15,CP2,1,293,52,89,17,11,14,NA
DF20150825SW,8/25/15,CP3,1,339,54,31,26,10,9,NA
DF20150825SW,8/25/15,P51,1,1202,144,163,88,22,22,NA
DF20150825SW,8/25/15,P53,1,532,49,13,243,7,67,NA
DF20150825SW,8/25/15,WT1,1,845,310,23,81,48,24,NA
DF20150825SW,8/25/15,WT3,1,1509,225,335,86,28,40,65
DF20150825SW,8/25/15,WT4,1,1065,407,50,89,50,38,NA
DF20150825SW,8/25/15,WT5,1,903,248,46,96,25,31,NA
DF20150915SW,9/15/15,AN2,1,702,50,115,140,16,49,5
DF20150915SW,9/15/15,AN5,1,2044,49,1205,97,8,7,20
DF20150915SW,9/15/15,AN0,1,1291,34,486,126,22,11,45
DF20150915SW,9/15/15,CP2,1,200,35,60,23,4,82,100
DF20150915SW,9/15/15,CP3,1,423,44,61,32,4,53,5
DF20150915SW,9/15/15,P51,1,874,33,258,76,10,131,60
DF20150915SW,9/15/15,P53,1,595,31,12,47,3,90,30
DF20150915SW,9/15/15,WT1,1,789,210,54,121,29,5,0
DF20150915SW,9/15/15,WT3,1,771,42,138,70,4,6,90
DF20150915SW,9/15/15,WT4,1,988,206,124,104,14,11,30
DF20150915SW,9/15/15,WT5,1,855,112,128,84,10,12,5
DF20151014SW,10/14/15,AN0,1,556,31,84,49,12,1,7
DF20151014SW,10/14/15,AN2,1,583,19,48,38,13,1,18
DF20151014SW,10/14/15,AN3,1,913,7,43,67,20,4,15
DF20151014SW,10/14/15,AN5,1,769,8,17,124,6,3,67
DF20151014SW,10/14/15,CP1,1,929,741,123,156,98,2,0
DF20151014SW,10/14/15,CP2,1,264,30,37,11,11,0,212
DF20151014SW,10/14/15,CP3,1,437,26,31,21,9,11,2
DF20151014SW,10/14/15,P51,1,548,4,76,76,14,0,33
DF20151014SW,10/14/15,P53,1,390,5,17,26,9,44,22
DF20151014SW,10/14/15,WT1,1,466,92,77,48,8,0,40
DF20151014SW,10/14/15,WT3,1,609,16,75,31,0,7,38
DF20151014SW,10/14/15,WT4,1,791,351,103,50,5,5,23
DF20151014SW,10/14/15,WT5,1,716,245,74,31,7,4,50
DF20151117SW,11/17/15,AN0,1,528,65,22,18,6,15,62
DF20151117SW,11/17/15,AN2,1,533,24,40,29,3,2,30
DF20151117SW,11/17/15,AN3,1,996,9,8,104,21,8,5
DF20151117SW,11/17/15,AN4,1,516,21,13,26,3,2,8
DF20151117SW,11/17/15,AN5,1,532,11,9,24,3,7,63
DF20151117SW,11/17/15,CP1,1,833,478,114,156,147,1,0
DF20151117SW,11/17/15,CP2,1,297,71,16,12,6,10,43
DF20151117SW,11/17/15,CP3,1,573,161,71,34,9,6,3
DF20151117SW,11/17/15,P51,1,394,11,1,40,5,0,28
DF20151117SW,11/17/15,P53,1,874,8,72,103,7,8,92
DF20151117SW,11/17/15,WT1,1,662,200,104,64,4,2,35
DF20151117SW,11/17/15,WT3,1,871,18,9,29,2,7,25
DF20151117SW,11/17/15,WT4,1,775,284,119,48,3,4,175
DF20151117SW,11/17/15,WT5,1,4330,240,116,70,4,7,32
DF20151207SW,12/7/15,AN0,1,564,149,49,33,3,1,25
DF20151207SW,12/7/15,AN2,1,551,60,79,53,1,6,35
DF20151207SW,12/7/15,AN3,1,562,20,61,179,3,1,0
DF20151207SW,12/7/15,AN4,1,768,67,58,37,1,3,8
DF20151207SW,12/7/15,AN5,1,409,30,6,60,1,0,18
DF20151207SW,12/7/15,CP1,1,1031,660,83,195,119,0,0
DF20151207SW,12/7/15,CP2,1,319,144,7,13,4,0,98
DF20151207SW,12/7/15,CP3,1,528,170,77,67,8,4,25
DF20151207SW,12/7/15,P51,1,426,17,7,116,8,12,0
DF20151207SW,12/7/15,P53,1,893,20,236,169,12,3,0
DF20151207SW,12/7/15,WT1,1,743,304,177,172,8,1,15
DF20151207SW,12/7/15,WT3,1,516,60,36,46,1,7,15
DF20151207SW,12/7/15,WT4,1,779,350,176,127,3,2,25
DF20151207SW,12/7/15,WT5,1,802,329,172,127,3,2,43
DF20160112SW,1/12/16,AN0,1,761,252,68,37,4,2,NA
DF20160112SW,1/12/16,AN2,1,706,130,79,31,2,8,NA
DF20160112SW,1/12/16,AN3,1,889,16,192,177,2,18,NA
DF20160112SW,1/12/16,AN4,1,689,161,68,44,2,2,NA
DF20160112SW,1/12/16,AN5,1,500,74,57,21,1,2,NA
DF20160112SW,1/12/16,CP1,1,1127,613,110,299,139,2,NA
DF20160112SW,1/12/16,CP2,1,397,139,23,1,6,3,NA
DF20160112SW,1/12/16,CP3,1,714,228,38,91,18,1,NA
DF20160112SW,1/12/16,P51,1,488,29,469,27,1,1,NA
DF20160112SW,1/12/16,P53,1,1208,41,42,149,16,1,NA
DF20160112SW,1/12/16,WT1,1,758,219,133,64,1,3,NA
DF20160112SW,1/12/16,WT3,1,667,146,42,68,1,2,NA
DF20160112SW,1/12/16,WT4,1,841,286,118,58,2,2,NA
DF20160112SW,1/12/16,WT5,1,811,258,122,53,2,9,NA
DF20160202SW,2/2/16,AN0,1,1013,468,125,49,3,2,50
DF20160202SW,2/2/16,AN2,1,749,268,97,42,1,2,132
DF20160202SW,2/2/16,AN3,1,503,68,67,111,4,3,18
DF20160202SW,2/2/16,AN4,1,698,291,100,37,2,2,175
DF20160202SW,2/2/16,AN5,1,445,141,38,29,1,1,73
DF20160202SW,2/2/16,CP1,1,1175,584,300,233,92,52,0
DF20160202SW,2/2/16,CP2,1,867,397,191,122,37,9,0
DF20160202SW,2/2/16,CP3,1,712,319,64,79,34,2,13
DF20160202SW,2/2/16,P51,1,892,78,423,86,8,15,37
DF20160202SW,2/2/16,P53,1,614,168,97,21,17,0,3
DF20160202SW,2/2/16,WT1,1,890,453,144,111,17,1,37
DF20160202SW,2/2/16,WT3,1,696,268,76,39,3,5,43
DF20160202SW,2/2/16,WT4,1,847,432,141,87,6,2,53
DF20160202SW,2/2/16,WT5,1,795,433,154,84,3,2,69
DF20160308SW,3/8/16,AN0,1,666,125,25,16,7,6,50
DF20160308SW,3/8/16,AN0,2,672,125,24,22,9,6,55
DF20160308SW,3/8/16,AN0,3,680,131,19,22,6,1,60
DF20160308SW,3/8/16,AN2,1,482,55,15,21,5,6,25
DF20160308SW,3/8/16,AN2,2,456,56,17,18,6,2,25
DF20160308SW,3/8/16,AN2,3,471,52,11,22,6,5,35
DF20160308SW,3/8/16,AN3,1,635,1,7,90,8,5,75
DF20160308SW,3/8/16,AN3,2,623,13,7,95,6,14,60
DF20160308SW,3/8/16,AN3,3,636,1,8,100,6,11,70
DF20160308SW,3/8/16,AN4,1,462,55,3,18,7,8,55
DF20160308SW,3/8/16,AN4,2,454,48,0,17,6,3,40
DF20160308SW,3/8/16,AN4,3,470,54,9,16,10,5,35
DF20160308SW,3/8/16,AN5,1,439,1,16,30,6,6,35
DF20160308SW,3/8/16,AN5,2,426,1,17,32,8,11,25
DF20160308SW,3/8/16,AN5,3,426,1,12,32,5,4,30
DF20160308SW,3/8/16,CP1,1,1111,227,26,168,113,7,0
DF20160308SW,3/8/16,CP1,2,1061,240,27,190,130,3,5
DF20160308SW,3/8/16,CP1,3,1067,242,24,176,107,2,0
DF20160308SW,3/8/16,CP2,1,563,449,3,12,9,9,40
DF20160308SW,3/8/16,CP2,2,522,253,5,9,8,7,20
DF20160308SW,3/8/16,CP2,3,574,656,2,19,14,5,35
DF20160308SW,3/8/16,CP3,1,1086,516,30,20,19,11,20
DF20160308SW,3/8/16,CP3,2,786,314,15,35,16,11,20
DF20160308SW,3/8/16,CP3,3,893,476,19,29,17,6,40
DF20160308SW,3/8/16,P3D,1,2825,2253,4,13,14,7,45
DF20160308SW,3/8/16,P3D,2,2852,882,3,12,14,7,30
DF20160308SW,3/8/16,P3D,3,2849,1754,3,12,14,10,30
DF20160308SW,3/8/16,P51,1,965,31,407,95,6,15,0
DF20160308SW,3/8/16,P51,2,945,25,396,92,14,8,10
DF20160308SW,3/8/16,P51,3,991,25,416,94,7,9,10
DF20160308SW,3/8/16,P53,1,789,39,200,25,14,7,0
DF20160308SW,3/8/16,P53,2,795,29,400,26,14,5,0
DF20160308SW,3/8/16,P53,3,796,25,200,13,14,1,0
DF20160308SW,3/8/16,WT1,1,505,83,24,21,8,9,25
DF20160308SW,3/8/16,WT1,2,520,72,23,23,7,3,40
DF20160308SW,3/8/16,WT1,3,538,71,24,23,8,1,25
DF20160308SW,3/8/16,WT3,1,441,53,16,18,6,8,20
DF20160308SW,3/8/16,WT3,2,445,51,14,19,5,4,35
DF20160308SW,3/8/16,WT3,3,439,49,17,18,6,4,60
DF20160308SW,3/8/16,WT4,1,648,128,53,27,7,15,65
DF20160308SW,3/8/16,WT4,2,673,123,45,29,7,7,55
DF20160308SW,3/8/16,WT4,3,642,121,53,39,6,9,20
DF20160308SW,3/8/16,WT5,1,741,114,45,57,6,10,55
DF20160308SW,3/8/16,WT5,2,722,123,45,42,6,2,45
DF20160308SW,3/8/16,WT5,3,721,112,43,32,9,31,35
DF20160406SW,4/6/16,AN0,1,521,185,57,42,39,8,90
DF20160406SW,4/6/16,AN0,2,532,197,56,45,39,3,60
DF20160406SW,4/6/16,AN0,3,506,222,64,79,38,0,90
DF20160406SW,4/6/16,AN2,1,538,84,90,58,22,11,55
DF20160406SW,4/6/16,AN2,2,529,67,74,79,23,19,85
DF20160406SW,4/6/16,AN2,3,512,84,85,59,24,14,80
DF20160406SW,4/6/16,AN3,1,951,0,92,294,30,17,45
DF20160406SW,4/6/16,AN3,2,922,0,94,281,25,15,20
DF20160406SW,4/6/16,AN3,3,921,0,101,295,26,1,20
DF20160406SW,4/6/16,AN4,1,496,64,31,58,15,11,80
DF20160406SW,4/6/16,AN4,2,495,78,37,52,13,13,100
DF20160406SW,4/6/16,AN4,3,485,56,38,56,13,15,80
DF20160406SW,4/6/16,AN5,1,531,0,23,65,13,22,125
DF20160406SW,4/6/16,AN5,2,429,0,30,59,12,20,125
DF20160406SW,4/6/16,AN5,3,416,0,33,49,13,15,100
DF20160406SW,4/6/16,CP1,1,876,421,84,159,127,1,5
DF20160406SW,4/6/16,CP1,2,874,431,80,181,127,0,0
DF20160406SW,4/6/16,CP1,3,852,596,109,140,137,1,0
DF20160406SW,4/6/16,CP2,1,272,199,19,16,19,2,30
DF20160406SW,4/6/16,CP2,2,264,28,19,20,17,3,70
DF20160406SW,4/6/16,CP2,3,267,164,20,20,20,4,90
DF20160406SW,4/6/16,CP3,1,518,203,52,80,15,7,5
DF20160406SW,4/6/16,CP3,2,526,220,50,71,14,6,20
DF20160406SW,4/6/16,CP3,3,506,207,46,94,14,7,25
DF20160406SW,4/6/16,P3D,1,2034,784,23,33,22,11,80
DF20160406SW,4/6/16,P3D,2,2122,780,27,32,22,6,85
DF20160406SW,4/6/16,P3D,3,2091,780,30,36,25,4,115
DF20160406SW,4/6/16,P51,1,703,0,289,72,29,6,35
DF20160406SW,4/6/16,P51,2,725,0,346,73,31,9,35
DF20160406SW,4/6/16,P51,3,736,0,309,60,31,0,45
DF20160406SW,4/6/16,P53,1,1037,4,429,140,23,6,25
DF20160406SW,4/6/16,P53,2,1038,0,509,156,24,8,30
DF20160406SW,4/6/16,P53,3,1038,0,467,135,25,9,35
DF20160406SW,4/6/16,WT1,1,565,138,87,62,14,4,125
DF20160406SW,4/6/16,WT1,2,577,145,91,63,14,5,115
DF20160406SW,4/6/16,WT1,3,553,165,102,59,15,7,135
DF20160406SW,4/6/16,WT3,1,539,69,29,56,13,12,70
DF20160406SW,4/6/16,WT3,2,549,58,24,58,13,12,100
DF20160406SW,4/6/16,WT3,3,501,64,35,60,13,11,120
DF20160406SW,4/6/16,WT4,1,763,233,96,51,14,10,175
DF20160406SW,4/6/16,WT4,2,732,254,97,51,15,7,155
DF20160406SW,4/6/16,WT4,3,737,322,112,53,15,3,230
DF20160406SW,4/6/16,WT5,1,886,278,201,55,17,41,225
DF20160406SW,4/6/16,WT5,2,918,269,200,70,16,36,245
DF20160406SW,4/6/16,WT5,3,889,263,202,66,15,34,210
DF20160509SW,5/9/16,AN0,1,649,269,46,38,7,12,135
DF20160509SW,5/9/16,AN0,2,582,269,53,31,6,14,95
DF20160509SW,5/9/16,AN0,3,668,267,67,34,69,14,145
DF20160509SW,5/9/16,AN2,1,661,181,124,37,3,15,55
DF20160509SW,5/9/16,AN2,2,668,192,137,34,5,17,65
DF20160509SW,5/9/16,AN2,3,651,187,116,32,4,19,75
DF20160509SW,5/9/16,AN3,1,1277,47,462,17,26,10,45
DF20160509SW,5/9/16,AN3,2,1265,25,445,176,14,6,45
DF20160509SW,5/9/16,AN3,3,1251,31,443,183,23,10,35
DF20160509SW,5/9/16,AN4,1,682,161,112,38,3,14,90
DF20160509SW,5/9/16,AN4,2,676,171,105,39,4,12,120
DF20160509SW,5/9/16,AN4,3,662,164,109,41,3,15,60
DF20160509SW,5/9/16,AN5,1,643,107,156,31,3,28,135
DF20160509SW,5/9/16,AN5,2,641,107,157,36,3,33,110
DF20160509SW,5/9/16,AN5,3,651,91,142,31,3,22,70
DF20160509SW,5/9/16,CP1,1,1177,714,131,143,116,1,20
DF20160509SW,5/9/16,CP1,2,1172,718,126,78,121,1,25
DF20160509SW,5/9/16,CP1,3,1148,708,142,129,127,6,30
DF20160509SW,5/9/16,CP2,1,350,105,24,38,11,7,35
DF20160509SW,5/9/16,CP2,2,333,83,22,36,9,8,40
DF20160509SW,5/9/16,CP2,3,345,90,21,39,9,10,30
DF20160509SW,5/9/16,CP3,1,341,211,28,7,5,5,60
DF20160509SW,5/9/16,CP3,2,447,206,32,8,6,3,115
DF20160509SW,5/9/16,CP3,3,369,217,26,8,4,4,120
DF20160509SW,5/9/16,P3D,1,5350,1841,49,24,20,4,170
DF20160509SW,5/9/16,P3D,2,5314,1859,40,24,21,5,165
DF20160509SW,5/9/16,P3D,3,5266,1832,45,28,21,8,215
DF20160509SW,5/9/16,P51,1,531,105,237,18,5,12,50
DF20160509SW,5/9/16,P51,2,533,133,213,16,6,14,95
DF20160509SW,5/9/16,P51,3,505,123,213,21,5,15,65
DF20160509SW,5/9/16,P53,1,598,18,35,65,6,16,5
DF20160509SW,5/9/16,P53,2,663,14,31,68,5,18,10
DF20160509SW,5/9/16,P53,3,611,15,35,63,5,18,15
DF20160509SW,5/9/16,WT1,1,673,323,66,37,4,7,85
DF20160509SW,5/9/16,WT1,2,657,321,86,34,4,7,80
DF20160509SW,5/9/16,WT1,3,665,320,80,35,5,9,125
DF20160509SW,5/9/16,WT3,1,670,168,95,40,2,19,110
DF20160509SW,5/9/16,WT3,2,683,153,127,40,3,18,165
DF20160509SW,5/9/16,WT3,3,647,156,132,40,4,24,100
DF20160509SW,5/9/16,WT4,1,1019,589,135,49,6,9,110
DF20160509SW,5/9/16,WT4,2,1024,597,143,48,6,7,70
DF20160509SW,5/9/16,WT4,3,1027,597,143,59,7,8,95
DF20160509SW,5/9/16,WT5,1,1235,573,209,60,2,39,85
DF20160509SW,5/9/16,WT5,2,1154,704,280,64,9,23,115
DF20160509SW,5/9/16,WT5,3,1192,618,258,31,9,36,120
DF20160608SW,6/8/16,AN0,1,781,250,0,66,11,3,105
DF20160608SW,6/8/16,AN0,2,766,308,0,70,13,4,105
DF20160608SW,6/8/16,AN0,3,767,295,0,82,12,6,100
DF20160608SW,6/8/16,AN2,1,766,264,27,46,5,28,75
DF20160608SW,6/8/16,AN2,2,748,298,44,61,8,23,130
DF20160608SW,6/8/16,AN2,3,760,288,23,59,5,24,130
DF20160608SW,6/8/16,AN3,1,1316,80,178,202,4,41,85
DF20160608SW,6/8/16,AN3,2,1267,94,270,172,5,25,80
DF20160608SW,6/8/16,AN3,3,1298,118,220,196,4,15,75
DF20160608SW,6/8/16,AN4,1,678,330,53,32,7,36,140
DF20160608SW,6/8/16,AN4,2,633,291,0,44,5,32,150
DF20160608SW,6/8/16,AN4,3,679,318,0,52,6,71,145
DF20160608SW,6/8/16,AN5,1,971,161,147,69,0,74,170
DF20160608SW,6/8/16,AN5,2,992,171,242,87,1,69,110
DF20160608SW,6/8/16,AN5,3,993,173,214,83,0,61,135
DF20160608SW,6/8/16,CP1,1,1279,991,10,168,138,0,95
DF20160608SW,6/8/16,CP1,2,1241,1073,0,173,138,0,110
DF20160608SW,6/8/16,CP1,3,1235,500,1,181,56,4,125
DF20160608SW,6/8/16,CP2,1,327,209,0,6,6,11,120
DF20160608SW,6/8/16,CP2,2,362,228,0,8,7,0,115
DF20160608SW,6/8/16,CP2,3,313,184,0,13,6,8,95
DF20160608SW,6/8/16,CP3,1,900,100,0,40,0,7,120
DF20160608SW,6/8/16,CP3,2,576,96,12,42,0,16,60
DF20160608SW,6/8/16,CP3,3,750,100,18,260,0,11,55
DF20160608SW,6/8/16,P3D,1,5343,3314,58,46,34,205,95
DF20160608SW,6/8/16,P3D,2,5373,3339,21,49,41,198,55
DF20160608SW,6/8/16,P3D,3,5461,3376,16,57,35,209,80
DF20160608SW,6/8/16,P51,1,NA,NA,NA,NA,NA,NA,NA
DF20160608SW,6/8/16,P51,2,NA,NA,NA,NA,NA,NA,NA
DF20160608SW,6/8/16,P51,3,NA,NA,NA,NA,NA,NA,NA
DF20160608SW,6/8/16,P53,1,NA,NA,NA,NA,NA,NA,NA
DF20160608SW,6/8/16,P53,2,NA,NA,NA,NA,NA,NA,NA
DF20160608SW,6/8/16,P53,3,NA,NA,NA,NA,NA,NA,NA
DF20160608SW,6/8/16,WT1,1,844,504,68,84,7,9,100
DF20160608SW,6/8/16,WT1,2,818,537,19,103,7,7,155
DF20160608SW,6/8/16,WT1,3,823,526,0,88,8,4,175
DF20160608SW,6/8/16,WT3,1,695,334,40,40,2,24,220
DF20160608SW,6/8/16,WT3,2,673,343,6,16,2,18,145
DF20160608SW,6/8/16,WT3,3,655,332,0,53,3,11,130
DF20160608SW,6/8/16,WT4,1,1787,1144,19,74,8,23,195
