"Date","Site","Temp_C","Log_SpCond_mScm","Log_Cond_mScm","Log_TDS_mgl","Log_Sal_ppt","DO_percent","DO_mgL","pH","Month","Year","Season","Log_Unfiltered_TN_ugL","Log_Filtered_NOx_ugL","Log_Filtered_NHx_ugL","Log_Unfiltered_TP_ugL","Filtered_OP_ugL","Log_TSS_mgL","fecal_coliform_colonies_per100mL"
"2015-12-07","AN4",8.5,0.207014169384326,0.14583044821154,0.138891998866619,0.104360015324243,93.1,10.88,6.44,12,2015,"Winter",6.64509096950564,4.21950770517611,4.07753744390572,3.63758615972639,1,1.38629436111989,8
"2015-12-07","AN0",9.21,0.330741561912228,0.24137631957527,0.227135572583747,0.173953307123438,91.1,10.4,6.61,12,2015,"Winter",6.33682573114644,5.01063529409626,3.91202300542815,3.52636052461616,3,0.693147180559945,25
"2015-12-07","P51",8.98,0.0741793981742515,0.0516432331518384,0.048790164169432,0.0392207131532813,52.4,6.02,6.99,12,2015,"Winter",6.05678401322862,2.89037175789616,2.07944154167984,4.76217393479776,8,2.56494935746154,0
"2015-12-07","P53",7.24,0.0639133257436529,0.0421011760186353,0.0421011760186353,0.0295588022415444,51,6.14,6.98,12,2015,"Winter",6.79570577517351,3.04452243772342,5.46806014113513,5.13579843705026,12,1.38629436111989,0
"2015-12-07","CP3",10.5,0.17730901497041,0.131028262406404,0.162118849476435,0.0861776962410524,104.1,11.55,6.88,12,2015,"Winter",6.2709884318583,5.14166355650266,4.35670882668959,4.21950770517611,8,1.6094379124341,25
"2015-12-07","CP1",13.03,0.370873663338545,0.297879897428227,0.257738196078709,0.198850858745165,100.3,10.51,6.66,12,2015,"Winter",6.93925394604151,6.49375383985169,4.43081679884331,5.27811465923052,119,0,0
"2015-12-07","CP2",12.83,0.348541960708543,0.27763173659828,0.239803992207317,0.182321556793955,58,6.07,6.7,12,2015,"Winter",5.76832099579377,4.97673374242057,2.07944154167984,2.63905732961526,4,0,98
"2016-02-02","WT5",10.29,0.394741144745189,0.298622012490115,0.273836665629728,0.207014169384326,99.7,11.04,7.03,2,2016,"Winter",6.67959918584438,6.0730445341004,5.04342511691925,4.44265125649032,3,1.09861228866811,69
"2016-02-02","WT3",9.09,0.268499253035007,0.193920692637306,0.182321556793955,0.139761942375159,82.5,9.5,6.85,2,2016,"Winter",6.54678541076052,5.59471137960184,4.34380542185368,3.68887945411394,3,1.79175946922805,43
"2016-02-02","AN5",8.92,0.201306856705035,0.144100343973757,0.135404637006203,0.104360015324243,74.7,8.68,6.51,2,2016,"Winter",6.10031895202006,4.95582705760126,3.66356164612965,3.40119738166216,1,0.693147180559945,73
"2016-02-02","WT4",10.17,0.421338457264455,0.318453731118535,0.293415604299541,0.22314355131421,96.2,10.78,6.93,2,2016,"Winter",6.7428806357919,6.07073772800249,4.95582705760126,4.47733681447821,6,1.09861228866811,53
